,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b
491,6,4,5,8,5,4,4,3,3,6,23,4,4
492,6,5,5,5,5,5,5,6,6,6,-1,2,4
493,2,1,3,5,2,2,3,2,3,2,20,2,3
494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
495,6,5,5,2,8,2,5,5,4,6,32,3,6
496,6,2,5,8,3,-1,5,4,1,1,19,2,2
497,4,5,5,4,5,5,5,4,4,1,12,3,4
498,6,5,5,5,5,5,5,5,1,3,18,3,4
500,6,2,4,3,5,2,4,4,4,4,13,2,6
501,-1,4,5,8,4,2,4,5,3,5,11,2,5
502,6,5,5,8,5,5,5,2,1,1,15,1,4
503,6,5,5,1,2,4,5,5,1,4,20,2,6
504,6,4,4,2,5,2,2,2,2,2,15,2,6
505,4,2,5,8,5,8,4,3,1,4,-1,2,5
506,4,2,2,1,2,2,3,2,4,6,11,3,6
507,6,5,5,5,4,5,5,5,1,5,10,4,6
508,4,4,5,8,8,4,5,5,1,5,4,4,4
509,6,5,5,4,5,5,5,6,5,3,19,2,5
510,4,8,4,8,2,1,3,4,1,2,17,3,4
511,5,2,2,1,1,1,4,2,5,5,14,2,3
512,-1,5,5,5,5,5,5,6,1,1,12,4,4
513,5,2,4,1,5,2,3,3,3,4,17,2,4
514,5,5,5,5,5,3,4,6,4,4,20,-1,6
515,6,4,5,8,5,2,4,5,4,4,18,4,6
516,5,5,4,1,4,4,4,5,1,4,22,4,6
517,5,5,5,8,5,5,5,6,1,4,10,2,4
518,6,5,5,5,3,3,4,6,4,4,14,4,6
519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
520,4,3,5,2,2,4,5,2,3,2,24,3,5
521,3,5,5,5,5,5,5,3,4,4,7,3,3
522,5,5,5,5,2,1,5,1,5,2,5,2,3
523,6,5,5,5,5,5,5,6,1,1,19,3,6
524,1,5,5,8,5,8,8,6,6,1,11,4,1
525,5,5,5,4,5,5,5,5,2,2,18,2,4
526,1,8,8,8,8,8,8,-1,1,1,99,2,4
527,5,4,5,1,5,4,5,5,5,5,15,2,4
528,6,2,2,1,1,1,1,6,1,1,99,3,1
529,6,5,5,5,4,4,5,6,5,5,13,4,5
530,6,5,5,1,5,3,5,6,1,2,12,4,6
531,6,4,5,-1,5,1,3,6,1,1,10,3,3
532,6,5,5,5,5,5,5,6,1,1,12,3,1
533,4,4,5,1,2,5,5,5,3,1,19,1,6
534,6,5,5,1,5,5,5,6,1,1,13,2,5
535,6,5,5,8,5,5,8,2,2,4,20,1,5
536,6,5,5,1,5,5,5,5,1,4,26,2,6
537,6,3,5,8,5,4,3,5,4,5,14,2,6
538,6,5,5,5,5,5,5,5,5,5,12,2,5
539,6,2,5,1,4,1,3,1,1,3,13,3,3
540,6,5,5,8,5,5,5,6,1,1,12,-1,6
541,6,4,5,4,4,3,5,4,1,1,16,3,6
542,6,4,5,-1,5,5,5,6,1,3,16,4,6
543,4,5,5,8,5,4,8,4,1,4,14,4,4
544,6,5,5,1,5,1,5,6,1,1,15,4,6
545,6,5,5,8,5,5,5,4,1,2,-1,1,6
546,2,3,5,8,5,8,2,3,1,4,25,1,5
547,6,5,5,8,5,1,8,3,1,5,20,3,4
548,6,2,4,1,4,4,4,2,1,2,16,4,6
549,5,5,5,5,5,5,5,5,4,5,5,2,2
550,6,5,5,1,2,2,2,4,4,5,12,4,5
551,1,1,4,1,1,3,4,1,2,3,12,4,4
552,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
553,6,5,5,1,4,4,2,6,1,1,16,4,6
554,6,2,2,2,2,2,2,4,1,1,10,4,5
555,6,4,4,1,2,3,4,4,5,5,20,4,6
556,6,5,5,8,5,5,5,4,1,1,19,4,5
557,6,4,5,1,5,5,5,5,5,5,19,1,1
558,3,1,1,1,1,1,1,1,1,1,-1,1,1
559,6,5,5,5,5,5,5,6,2,2,12,2,2
560,6,1,1,2,1,1,1,6,1,1,14,2,1
561,6,5,5,5,5,5,5,6,3,3,-1,5,6
562,6,5,5,2,5,5,5,6,1,1,10,3,6
563,5,2,4,2,2,2,4,3,1,1,15,2,3
564,5,3,5,8,5,5,4,6,5,5,15,3,5
565,4,4,5,1,3,4,5,1,1,1,15,3,-1
566,2,2,3,4,3,3,3,2,2,1,18,2,1
567,5,2,3,2,2,2,3,5,6,4,8,3,5
568,6,5,4,1,5,5,5,3,5,4,14,2,6
569,2,1,1,1,1,1,1,6,2,3,15,1,3
570,6,4,5,8,5,5,5,5,5,5,12,1,6
571,3,4,5,4,5,4,5,6,3,1,13,3,3
572,6,5,5,5,5,5,5,4,2,4,5,2,6
573,4,5,5,8,5,5,5,6,5,3,-1,2,4
574,6,5,5,5,5,5,5,3,5,5,14,1,6
575,4,2,2,1,1,1,1,3,1,6,13,4,5
576,4,4,4,8,5,1,8,6,1,3,15,1,5
577,5,5,5,8,5,5,5,2,4,5,12,4,5
578,5,4,5,5,4,2,3,5,5,6,16,1,5
579,4,3,4,1,4,2,5,4,4,3,17,3,3
580,6,4,5,4,5,5,5,2,1,5,15,2,1
581,6,1,3,1,2,2,3,1,2,1,1,1,4
582,1,5,5,5,5,1,1,4,1,1,-1,4,2
583,4,4,5,5,5,5,5,3,3,3,10,2,3
584,6,4,4,4,1,2,3,6,1,1,16,5,6
585,4,4,4,4,1,2,2,5,3,4,10,3,3
586,5,5,2,4,2,2,2,6,1,1,16,2,6
587,6,4,3,8,2,2,4,4,5,5,15,2,5
588,6,5,5,5,5,5,5,6,5,3,9,4,6
589,6,5,5,5,5,5,5,6,6,5,16,5,6
590,4,5,5,5,5,5,5,6,1,1,21,2,2
591,6,4,4,1,4,1,5,4,6,6,14,3,6
592,4,4,4,3,4,2,4,5,3,3,19,4,6
593,1,4,4,4,2,2,5,6,1,1,13,5,1
594,-1,5,5,8,5,5,5,6,1,3,9,2,3
595,6,5,5,5,5,5,5,5,4,4,14,2,4
596,4,5,5,5,5,5,5,6,4,4,14,2,5
597,4,2,2,2,2,2,2,4,2,2,18,3,4
598,5,1,4,1,3,2,2,3,4,3,14,2,4
599,6,5,5,8,5,8,5,2,3,5,12,2,6
600,5,5,5,3,5,5,5,6,1,4,13,4,5
601,6,2,2,1,1,1,2,2,2,2,14,1,1
602,6,2,5,1,2,1,5,1,1,5,27,3,6
603,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
604,5,2,5,1,1,1,4,4,2,3,14,2,6
605,6,4,2,8,8,8,8,8,1,6,14,3,6
606,1,5,5,5,5,5,5,6,4,4,20,2,6
607,6,5,5,2,3,5,5,5,5,3,18,4,6
608,6,2,4,2,3,1,5,6,1,1,10,3,1
609,6,5,5,5,4,4,5,6,4,4,22,5,6
610,4,4,5,1,5,2,2,3,5,5,17,3,4
611,6,2,4,1,2,2,4,6,3,2,14,3,4
612,6,5,5,5,5,5,5,6,5,4,14,4,3
613,6,1,2,1,1,1,2,1,6,1,12,2,6
614,6,8,8,8,8,8,8,-1,1,3,18,3,6
615,4,3,4,4,2,1,8,3,1,1,9,2,6
616,3,1,2,8,8,2,2,8,2,4,12,2,1
617,5,3,5,8,2,2,4,4,1,2,11,4,5
618,3,3,3,1,1,2,3,2,2,5,10,2,2
619,6,5,5,5,5,5,5,6,1,5,6,4,6
620,4,8,8,8,8,8,8,-1,-1,1,9,-1,-1
621,6,4,5,1,5,2,5,3,1,4,15,3,6
622,4,5,5,5,5,5,5,4,5,5,18,2,4
623,1,5,5,5,5,5,5,1,2,5,4,3,6
624,5,2,5,5,2,1,5,3,1,4,18,3,4
625,5,5,5,5,5,5,4,6,5,5,12,4,2
626,6,5,5,5,5,4,5,3,1,3,26,1,3
627,3,5,5,8,5,5,5,6,2,2,16,2,1
628,1,8,8,8,8,8,8,-1,1,1,16,4,1
629,6,2,5,1,5,1,5,6,4,3,29,2,2
630,6,5,5,5,5,5,5,6,1,2,14,3,4
631,4,5,5,5,5,5,5,6,1,4,12,2,5
632,6,2,5,1,5,3,5,2,5,5,8,2,6
633,4,2,3,8,1,1,1,3,1,3,12,1,4
634,3,8,8,8,8,8,8,4,-1,3,13,3,4
635,3,5,5,8,8,8,5,6,1,1,8,1,1
636,3,8,8,8,8,8,8,6,1,1,-1,-1,2
637,6,3,4,2,3,2,5,6,1,4,18,4,6
638,5,5,5,-1,-1,5,5,6,1,1,14,2,5
639,3,4,4,1,1,1,4,5,3,1,21,5,1
640,6,1,2,1,2,2,2,2,2,3,-1,4,3
641,5,5,5,5,2,5,5,4,6,3,17,1,6
642,6,5,5,5,5,5,5,6,1,1,12,2,6
643,6,3,5,8,5,5,4,2,5,3,24,2,6
644,5,5,5,5,5,5,5,5,5,3,20,2,6
645,6,4,5,8,5,1,5,5,1,1,19,2,5
646,-1,4,5,3,5,8,5,5,3,4,16,2,5
647,6,3,5,8,8,8,5,5,1,1,12,4,5
648,6,5,5,5,1,1,5,6,3,1,17,3,6
649,3,2,5,-1,-1,-1,-1,6,1,1,-1,4,1
650,6,5,5,8,5,5,5,6,1,5,16,3,6
651,6,5,5,8,5,5,5,2,3,4,24,1,5
652,6,2,5,1,4,1,4,8,1,5,12,1,5
653,4,1,2,1,1,1,2,2,1,1,14,2,4
654,5,2,5,8,2,1,5,1,3,4,14,2,5
655,2,1,5,8,5,5,5,8,5,6,21,2,5
656,6,2,5,1,1,1,5,4,1,1,14,4,6
657,4,4,4,4,4,4,5,5,4,4,12,2,5
658,6,5,5,5,5,5,5,4,5,4,7,5,6
659,2,8,8,8,8,8,8,-1,-1,1,9,4,2
660,6,5,5,5,5,5,5,5,4,4,19,1,6
661,6,5,5,5,5,5,5,6,3,4,22,2,5
662,6,5,5,5,3,5,4,6,5,5,36,2,6
663,-1,4,4,4,3,4,3,6,4,3,11,3,4
664,6,4,4,8,8,8,5,5,6,4,2,-1,6
665,5,2,5,1,5,8,5,5,1,1,24,1,-1
666,6,4,5,5,5,5,5,3,1,2,11,2,3
667,6,5,4,4,2,1,1,6,1,1,10,3,6
668,5,3,4,8,5,1,8,6,1,4,20,2,6
669,6,5,5,5,5,2,5,1,5,5,10,4,6
670,3,5,5,5,5,8,5,6,3,2,17,2,4
671,5,8,8,8,8,8,8,6,1,1,-1,2,3
672,6,8,8,8,8,8,8,1,6,6,-1,4,3
673,5,5,5,5,5,5,5,4,3,3,8,3,4
674,5,5,5,8,3,1,5,1,3,6,15,2,2
675,6,5,5,5,5,2,5,2,1,2,21,2,5
676,4,2,2,1,1,1,2,8,1,5,9,2,6
677,6,4,5,3,5,3,5,6,5,1,17,4,6
678,1,8,8,8,8,8,8,8,1,1,-1,-1,-1
679,6,5,3,1,3,1,2,6,1,2,25,3,6
680,1,5,8,8,5,5,5,5,2,2,18,2,2
681,6,5,3,2,2,2,4,6,4,5,10,2,6
682,5,5,4,5,4,2,4,6,4,3,18,4,6
683,5,4,4,1,4,2,4,6,6,6,5,4,6
684,6,5,5,8,5,4,8,6,3,3,11,2,6
685,6,4,5,2,4,2,5,5,2,3,16,3,4
686,2,1,2,1,2,1,2,1,5,6,12,2,6
687,5,4,5,8,5,1,5,5,2,3,15,3,6
689,5,4,5,8,5,5,5,1,3,2,18,2,4
690,2,3,4,1,2,2,2,4,1,1,24,4,2
691,6,4,5,8,2,1,5,4,1,4,12,2,5
692,6,4,5,5,5,2,5,2,6,1,6,2,1
693,5,8,8,8,8,8,8,-1,1,1,-1,3,6
694,6,2,5,1,5,5,5,1,4,6,13,2,6
695,4,3,5,4,5,1,2,6,4,4,20,3,6
696,5,3,4,2,5,5,5,5,3,3,26,2,6
697,6,5,3,-1,-1,-1,-1,4,2,2,14,2,2
698,6,5,5,5,5,5,5,6,1,4,22,3,6
699,6,4,5,3,1,2,3,6,1,5,12,2,3
700,6,2,5,1,5,5,5,6,4,3,6,4,6
701,1,8,8,8,8,8,8,8,3,1,-1,2,3
702,4,8,8,8,8,8,8,4,3,4,-1,4,4
703,6,2,3,1,3,2,2,4,3,5,19,3,5
704,6,2,4,1,3,1,3,2,1,1,18,4,6
705,4,4,4,4,3,4,4,4,4,4,-1,4,4
706,1,2,2,1,2,2,2,6,1,1,16,2,1
707,4,2,4,8,4,8,5,5,2,2,6,4,4
708,6,3,5,8,2,8,5,4,1,3,9,3,6
709,6,2,4,1,2,2,5,2,4,3,10,3,6
710,6,5,5,5,5,5,5,4,1,1,27,4,6
711,6,3,5,3,3,3,5,4,6,4,18,4,4
712,6,5,5,8,4,4,5,5,2,5,19,2,5
713,6,8,2,2,2,2,5,4,1,2,18,2,6
714,6,1,2,1,4,1,2,3,3,5,20,4,6
715,5,5,5,1,2,2,4,1,2,5,13,2,4
716,6,4,5,5,5,4,5,2,1,4,15,2,5
717,6,5,5,5,5,5,5,2,1,6,5,4,6
718,3,2,5,2,2,2,4,3,3,3,18,4,4
719,6,5,5,8,5,5,5,4,3,5,9,2,6
720,4,5,5,5,5,5,5,6,1,1,21,2,3
721,5,4,5,1,5,4,4,2,1,4,17,4,5
722,-1,2,5,5,2,2,8,3,2,5,18,2,6
723,5,2,4,1,5,1,5,2,2,4,17,3,2
724,5,1,3,1,4,2,4,1,5,2,30,3,5
725,6,1,2,1,1,1,1,2,4,4,23,2,6
726,6,8,2,1,5,2,2,2,3,6,12,1,6
727,6,8,8,1,8,8,8,6,1,1,14,2,1
728,6,5,5,5,5,5,5,6,3,6,18,1,6
729,5,4,5,2,5,5,5,5,2,6,10,2,3
730,6,8,8,8,8,8,8,6,1,1,-1,2,6
731,4,2,4,1,5,5,5,8,1,6,10,2,3
732,1,8,8,8,8,8,8,8,1,1,-1,2,2
733,6,2,3,2,3,3,2,3,3,3,16,3,4
734,3,4,5,2,4,4,5,5,3,4,12,4,4
735,6,4,4,1,2,2,4,6,4,4,14,3,5
736,5,1,3,1,2,2,5,1,6,6,5,3,6
737,6,4,5,1,5,5,5,4,2,3,19,3,5
738,6,2,2,1,3,1,2,1,3,3,17,4,6
739,5,5,5,8,5,2,8,5,2,3,14,2,4
740,4,2,4,1,1,1,2,4,4,4,10,2,2
741,6,5,5,5,5,4,3,6,6,5,13,3,6
742,6,3,5,8,5,5,5,2,3,6,16,2,6
743,6,3,5,8,5,1,4,3,4,5,12,4,6
744,1,1,1,1,1,1,1,8,3,4,16,4,3
745,2,2,4,1,3,2,4,2,5,4,12,1,6
746,3,4,5,4,5,3,4,4,1,5,16,2,5
747,5,1,1,1,1,1,2,1,2,1,23,3,5
748,6,5,5,5,5,5,5,4,4,3,13,2,6
749,6,8,8,8,8,8,8,5,5,5,8,4,6
750,6,8,8,8,8,8,8,-1,-1,-1,-1,3,6
751,1,8,8,8,8,8,8,-1,2,1,99,1,6
752,5,2,5,8,5,4,5,4,4,4,16,3,5
753,4,5,5,5,5,5,5,3,2,2,17,2,5
754,6,2,4,8,4,1,4,4,4,5,12,2,6
755,5,5,5,8,1,1,5,6,4,5,4,2,6
756,4,3,5,2,5,2,8,3,5,3,13,4,6
757,2,2,1,1,1,3,2,-1,1,5,14,1,1
758,-1,8,8,8,8,8,8,8,-1,-1,-1,-1,-1
759,4,3,4,4,4,3,4,5,5,4,-1,4,4
760,6,2,5,1,4,4,5,3,1,1,17,3,6
761,5,2,3,1,1,1,3,1,3,3,18,3,1
762,6,5,5,5,5,5,5,3,4,4,16,2,2
763,6,4,5,1,4,3,5,4,3,4,17,3,5
764,5,5,5,4,5,3,4,6,2,4,15,2,4
765,6,4,5,8,5,2,5,5,5,5,14,4,6
766,5,5,5,5,5,5,5,4,1,1,11,2,5
767,6,5,5,1,3,4,5,5,4,5,15,4,6
768,3,5,5,5,5,4,5,6,2,4,9,4,3
769,4,4,5,2,8,2,8,6,2,2,7,2,6
770,5,5,5,8,5,5,5,5,4,4,26,3,6
771,5,2,4,1,8,4,2,8,2,4,24,2,6
772,4,4,5,8,4,4,5,5,3,3,7,1,6
773,5,4,5,4,4,4,5,2,4,4,14,2,3
774,6,4,5,8,5,5,5,2,4,2,21,2,6
775,5,5,5,5,5,5,5,1,2,5,19,1,6
776,5,5,5,5,5,3,5,5,3,3,15,3,4
777,-1,5,5,8,8,5,5,6,4,4,29,2,4
778,6,4,4,2,4,2,3,6,3,3,12,1,1
779,6,3,4,5,5,5,5,3,3,6,17,4,5
780,6,5,5,5,5,2,5,6,4,4,19,2,6
781,6,4,5,8,5,5,5,3,4,5,15,3,6
782,4,2,3,8,3,1,1,2,2,4,14,2,6
784,2,8,8,8,8,8,8,8,3,1,14,2,4
785,6,1,3,1,1,1,3,8,4,1,18,3,6
786,6,4,5,2,5,1,4,4,5,5,14,3,5
787,5,4,5,4,3,3,4,6,1,4,20,3,4
788,5,1,4,1,5,2,2,8,1,3,12,2,3
789,5,5,3,5,2,2,2,6,4,4,17,1,6
790,6,3,5,8,5,2,5,5,5,4,17,1,6
791,2,3,3,2,4,2,4,8,1,3,8,4,5
792,6,2,1,4,4,4,2,4,3,3,14,4,4
793,3,3,3,3,3,3,3,2,1,1,19,3,4
794,6,2,2,2,2,2,2,4,2,6,11,4,4
795,6,8,8,8,8,8,8,8,4,4,-1,4,5
796,6,5,5,5,5,5,5,3,4,6,7,5,3
797,6,4,4,1,2,2,8,3,2,2,13,1,3
798,6,4,5,8,5,8,5,6,2,5,6,2,6
799,6,5,5,5,5,5,5,6,1,1,10,2,1
800,6,2,4,2,2,1,2,1,5,6,18,2,6
801,6,3,5,5,5,5,5,2,5,4,17,4,5
802,6,4,5,2,5,5,5,4,4,4,8,2,6
803,6,5,5,8,8,8,5,1,1,6,18,4,1
804,5,5,5,8,8,2,5,5,4,4,13,2,3
805,6,5,5,5,5,5,5,6,4,6,18,4,6
806,6,5,5,5,5,5,5,6,4,5,17,2,5
807,5,5,4,8,2,2,2,4,3,3,12,2,3
808,6,5,5,4,5,5,5,3,3,4,11,1,3
809,5,4,5,8,4,8,4,3,3,4,18,1,6
810,5,3,5,2,5,2,5,4,4,3,18,1,4
811,5,8,8,8,8,8,8,1,3,1,-1,3,5
812,4,2,2,8,2,2,2,6,2,5,10,1,5
813,5,5,5,5,5,5,5,6,6,1,7,2,6
814,2,2,5,2,1,4,3,4,1,3,14,1,1
815,5,5,4,2,5,3,4,5,2,4,16,4,5
816,5,5,5,5,5,5,5,6,4,4,10,4,2
817,5,3,3,3,5,1,3,4,3,4,6,4,5
818,4,5,3,1,2,2,8,3,5,5,15,2,6
819,4,5,5,8,5,4,5,5,1,6,26,4,2
820,1,5,5,5,5,5,5,5,4,4,11,1,1
821,1,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1
822,3,4,5,-1,5,4,5,4,1,1,17,4,1
823,6,2,4,1,1,1,5,2,1,1,25,2,1
824,6,5,5,8,5,5,5,3,1,1,11,3,2
825,6,5,5,5,5,5,5,6,1,1,12,4,1
826,4,5,5,5,5,5,5,6,2,2,-1,2,2
827,4,5,5,5,5,5,5,6,5,5,99,4,-1
828,5,5,5,2,5,4,5,6,2,3,19,4,3
829,6,5,5,5,5,5,5,6,4,4,13,2,3
830,6,5,5,5,5,5,5,6,1,3,8,4,1
831,6,4,5,3,5,5,4,5,5,5,21,3,4
832,5,5,5,5,5,5,5,6,1,1,40,3,2
833,5,5,5,5,5,5,5,6,6,6,5,5,6
834,5,4,4,5,1,2,1,4,3,3,30,2,2
835,4,3,5,8,3,1,2,4,1,3,20,4,1
836,3,5,5,8,8,8,5,6,1,1,12,3,1
837,6,4,5,8,4,4,5,5,1,4,10,4,4
838,6,8,5,5,8,4,5,5,5,1,14,-1,3
839,5,5,5,5,5,5,5,4,2,4,20,3,3
840,6,4,5,1,3,3,5,4,1,1,14,2,1
841,6,5,5,5,5,5,5,2,3,3,9,3,3
842,6,4,5,1,4,8,5,4,1,5,17,4,4
843,6,5,5,2,2,2,4,5,1,3,16,4,2
844,1,5,3,5,2,5,1,4,4,2,7,4,6
845,5,5,5,5,5,5,5,6,1,2,50,4,2
846,5,5,5,8,5,5,8,6,2,3,12,4,2
847,4,5,5,8,5,5,5,5,3,3,16,3,3
848,5,5,5,8,3,4,5,5,1,4,14,3,1
849,6,5,5,5,5,5,5,6,3,2,12,3,6
850,6,5,5,5,5,5,5,6,2,6,19,5,4
851,1,5,5,8,5,5,8,4,1,1,15,5,3
852,3,4,5,2,5,8,5,4,4,6,17,2,4
853,3,1,5,8,2,8,2,1,6,5,0,3,2
854,6,3,5,1,3,3,4,4,4,4,16,3,4
855,2,3,5,8,5,1,8,4,1,2,-1,2,2
856,6,3,4,1,3,2,2,4,3,1,25,3,3
857,5,3,5,8,2,1,4,3,2,4,28,4,6
858,6,5,5,2,1,2,3,4,1,3,15,2,3
859,4,5,5,5,5,5,5,5,2,5,46,4,1
860,2,5,5,8,5,5,5,2,2,2,14,4,1
861,1,5,5,5,5,5,5,4,4,1,8,4,4
862,5,5,5,8,2,2,5,6,1,3,28,4,5
863,4,2,3,1,2,1,2,3,4,5,18,2,4
864,5,2,5,8,4,8,4,4,4,6,20,1,6
865,4,2,4,1,3,1,8,4,2,4,18,3,3
866,5,2,4,1,4,1,4,8,3,3,17,3,3
867,4,5,5,5,5,5,5,-1,2,2,8,2,3
868,6,5,5,2,5,8,5,4,5,6,5,2,4
869,6,5,5,5,5,5,5,3,4,4,11,3,5
870,6,2,5,8,5,3,3,4,1,3,14,4,2
871,5,2,4,8,4,8,4,5,5,5,11,4,5
872,6,3,4,8,2,1,1,1,3,4,20,2,6
873,5,5,5,8,8,5,5,6,1,4,13,3,5
874,6,2,5,8,5,8,5,2,-1,6,23,3,6
875,6,2,3,8,2,1,5,4,3,5,18,2,4
876,5,2,5,1,5,2,5,5,1,1,17,2,5
877,5,8,8,8,8,8,8,8,-1,1,-1,4,4
878,6,8,8,8,8,8,8,1,1,1,15,1,6
879,5,4,4,8,3,2,4,4,1,5,19,4,4
880,-1,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1
881,4,4,5,1,4,4,5,6,3,4,15,2,5
882,6,5,5,2,5,5,5,3,1,1,16,4,2
883,4,5,5,8,5,5,5,5,4,3,11,2,2
884,6,1,4,1,1,1,2,1,1,3,8,4,6
885,5,2,5,8,5,2,4,5,2,2,21,4,5
886,6,4,5,2,5,5,5,6,1,1,21,4,5
887,6,1,1,1,1,1,1,4,1,6,19,3,6
888,6,4,5,8,2,2,4,6,5,5,18,3,6
889,3,4,5,4,8,4,8,1,1,1,12,4,4
890,6,5,5,8,8,1,5,6,1,1,5,4,3
891,4,3,5,8,5,5,5,2,3,4,12,3,5
892,6,5,5,5,5,5,3,6,1,1,35,3,6
893,5,5,5,8,8,8,4,6,1,2,8,4,3
894,1,2,4,2,2,2,2,2,1,1,19,4,1
895,5,2,4,4,4,8,5,6,1,1,16,3,1
896,6,4,5,8,8,5,5,6,4,6,9,5,6
897,5,2,4,8,1,1,3,3,4,1,16,4,6
898,4,8,8,8,8,8,8,-1,-1,1,99,4,3
899,6,1,3,1,1,2,1,1,1,1,18,3,2
900,-1,1,4,2,4,2,4,5,4,5,16,3,3
901,5,4,2,1,1,1,1,2,2,3,17,2,6
902,6,2,4,1,1,1,5,2,1,4,12,2,3
903,6,2,1,1,1,1,1,2,1,1,17,2,6
904,5,5,4,8,3,4,8,5,2,3,22,1,5
905,6,5,5,8,5,5,5,5,2,2,5,2,6
906,6,2,4,4,5,2,2,3,3,5,17,3,6
907,6,5,5,5,8,5,5,6,2,3,13,4,5
908,4,1,4,8,8,1,3,1,5,6,13,4,6
909,5,5,2,8,2,2,2,2,2,3,20,4,4
910,2,5,4,4,4,1,3,4,4,2,24,2,4
911,3,2,4,1,2,2,3,3,1,2,13,3,1
912,3,-1,-1,-1,-1,-1,-1,4,1,2,-1,1,3
913,5,8,8,8,8,8,8,-1,-1,-1,99,-1,-1
915,4,1,4,1,1,1,3,4,1,3,16,4,4
916,5,1,4,8,4,1,2,8,2,5,17,4,3
917,5,2,4,1,4,3,4,2,3,2,17,2,3
918,6,3,5,8,5,1,5,2,2,2,15,3,6
919,6,3,5,2,4,1,5,2,1,1,14,1,6
920,5,5,5,5,5,5,5,2,2,2,20,2,3
921,6,5,5,5,5,5,5,6,2,4,-1,1,6
922,6,4,4,8,2,3,5,3,1,2,19,4,4
923,3,5,5,8,4,4,4,5,1,1,26,2,1
924,6,5,5,5,5,5,5,5,1,1,9,4,3
925,6,5,5,8,4,1,5,3,1,5,50,4,6
926,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
927,4,5,5,5,5,5,5,5,1,4,24,2,1
928,4,4,4,1,5,8,3,3,6,1,23,3,1
929,6,5,5,5,5,3,5,4,1,4,14,3,6
930,6,5,5,5,5,5,5,5,1,1,12,4,4
931,4,8,8,8,8,8,8,6,3,1,17,4,2
932,6,5,5,5,5,4,8,5,1,4,20,4,5
933,5,2,4,5,5,4,2,2,1,4,24,2,2
934,3,5,5,5,8,4,5,6,2,3,9,3,4
935,4,5,5,8,3,4,5,5,1,5,10,3,3
936,3,8,8,8,8,8,8,8,2,2,-1,2,3
937,5,2,5,1,1,1,3,4,4,3,6,3,3
938,6,1,1,1,1,1,1,8,3,3,31,2,4
939,5,5,5,5,5,5,5,6,5,4,12,2,6
940,5,2,3,2,2,2,3,3,3,3,24,4,4
941,6,2,3,1,1,1,4,2,1,3,15,4,5
942,6,5,5,5,2,5,5,4,1,5,15,2,4
943,6,5,5,5,5,5,5,6,1,1,2,3,1
944,6,1,5,5,5,5,5,8,6,6,16,2,6
945,4,5,5,5,5,5,5,6,5,5,16,1,6
946,3,2,3,4,2,2,5,3,1,1,7,4,1
947,6,4,4,1,4,2,4,4,1,5,40,1,3
948,3,1,2,1,1,1,1,1,1,1,20,3,1
949,6,2,4,1,2,1,2,4,2,1,20,2,6
950,3,5,4,8,4,8,4,4,5,5,5,2,3
951,5,8,8,8,8,8,8,6,4,2,1,2,4
952,4,5,5,8,5,5,5,5,4,3,19,3,5
953,3,1,2,1,4,4,2,4,1,3,13,1,1
954,6,5,5,8,2,2,4,6,2,2,15,4,2
955,5,2,4,1,4,2,1,1,6,2,10,3,5
956,2,1,1,1,1,1,2,8,1,1,45,2,5
957,6,3,5,1,5,2,4,3,2,4,20,4,2
958,5,1,2,1,2,1,1,5,1,6,15,1,6
959,4,5,3,5,3,2,3,5,2,4,6,3,4
960,4,4,4,5,8,3,3,4,1,2,25,2,1
961,5,1,4,8,8,1,5,8,1,1,11,4,3
962,6,4,5,4,3,2,5,6,1,1,19,4,3
963,5,5,5,8,5,4,5,6,1,1,19,4,3
964,5,4,5,1,1,8,5,5,1,1,11,4,4
965,6,5,5,5,2,3,4,3,-1,3,17,3,1
966,5,5,5,5,5,5,5,6,1,3,18,4,4
967,6,5,5,5,5,5,5,-1,-1,-1,-1,3,1
968,4,5,5,8,5,4,5,6,1,1,3,2,3
969,6,5,5,8,5,5,5,6,2,2,12,3,6
970,5,5,5,5,5,3,5,6,1,4,4,4,3
971,1,5,4,5,5,5,5,6,1,1,25,4,6
972,4,5,5,5,3,5,5,6,2,3,14,1,3
973,5,5,5,8,4,4,8,2,1,3,12,4,4
974,4,1,2,1,2,1,1,8,1,3,20,4,3
975,5,5,5,8,5,5,5,5,1,1,16,4,2
976,5,5,5,8,4,4,5,5,2,2,17,4,2
977,5,4,5,1,4,3,5,5,1,1,6,4,3
978,6,5,5,8,5,5,5,6,3,2,4,3,6
979,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,-1,-1
980,5,5,5,5,5,5,5,6,2,2,14,3,1
981,2,5,5,8,5,4,4,5,1,5,14,2,1
982,6,4,4,4,2,3,3,6,1,2,28,3,2
983,1,1,2,1,1,1,2,1,1,1,17,2,1
984,1,5,4,1,8,2,3,5,2,2,14,4,2
985,5,5,4,8,2,2,2,6,2,4,26,4,2
