,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f
905,2,2,3,2,2,0,3,1,5,4,2,4,3,6,3,1,1,1,1,1,2,2,5,1,3,5,2,2,2,2,2,2,2,2,5,3,3,1,2
906,1,4,3,3,1,1,6,1,6,6,6,6,1,6,6,1,1,1,1,1,1,1,2,4,6,1,1,1,2,6,6,1,2,1,2,1,4,1,1
907,6,2,2,1,1,1,6,0,1,5,5,6,6,6,6,1,1,1,1,1,1,6,6,6,6,4,4,4,4,3,4,1,2,2,1,1,1,1,1
908,1,1,3,2,4,1,1,1,3,6,5,4,4,4,3,2,2,2,1,1,2,2,6,2,1,1,1,2,6,2,1,1,1,2,6,1,1,1,1
909,1,2,5,3,3,1,3,1,6,6,4,4,3,4,5,2,1,2,1,2,1,1,2,6,6,6,4,5,6,6,6,5,5,5,6,6,6,6,4
910,5,5,4,2,1,1,1,1,3,5,5,6,5,3,4,1,1,2,2,2,2,4,4,4,6,4,3,4,4,4,5,4,3,5,4,4,4,4,3
911,2,7,7,3,-1,1,1,1,5,5,2,4,4,4,4,8,2,2,2,8,2,2,3,2,4,2,2,1,1,3,3,1,1,1,2,3,3,3,3
912,2,2,2,2,-1,1,1,1,2,3,3,4,2,3,3,2,1,2,2,8,2,1,2,3,2,1,1,1,2,3,1,1,1,1,2,3,2,1,1
913,4,1,2,3,2,1,4,1,5,6,4,5,3,6,4,2,1,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2
915,2,3,2,3,2,1,2,1,6,3,2,4,4,4,4,2,2,2,8,8,2,2,4,3,5,1,1,2,3,2,2,1,1,1,2,1,1,1,1
916,1,3,2,1,2,1,2,1,6,5,4,6,2,4,3,1,2,1,1,1,2,2,2,5,3,1,2,1,1,1,3,1,1,1,1,1,1,1,1
917,2,1,4,3,2,1,1,1,6,6,4,6,3,3,2,1,2,2,1,2,1,2,2,4,5,2,2,2,2,3,4,2,2,1,1,1,2,1,1
918,2,2,2,1,1,1,2,1,1,6,5,3,3,2,4,1,1,1,1,1,1,5,5,6,6,5,2,5,6,6,6,6,2,4,4,6,6,6,2
919,1,4,3,3,-1,1,1,1,5,6,3,6,6,6,6,2,-1,1,2,8,-1,1,6,5,6,2,2,1,6,5,6,1,1,1,6,5,6,1,1
920,1,1,3,2,2,1,1,1,3,4,2,4,4,4,4,1,1,1,1,1,2,2,3,6,6,1,3,1,3,4,4,1,2,1,2,2,3,1,1
921,1,2,1,2,3,1,6,1,6,6,1,5,6,6,6,1,1,1,1,1,1,1,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
922,1,1,2,-1,-1,1,2,1,4,4,3,5,3,4,5,1,1,1,1,1,1,2,2,4,3,2,2,1,4,2,6,1,4,1,2,1,2,1,1
923,2,6,1,3,3,1,6,-1,4,4,2,3,4,4,4,1,1,2,2,2,1,4,4,5,5,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
924,1,7,7,2,2,1,4,1,6,5,3,5,3,5,4,2,1,2,2,2,1,2,3,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1
925,1,7,7,3,1,1,4,1,6,6,6,6,3,6,4,1,1,1,1,1,1,1,1,6,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1
926,2,1,1,-1,-1,1,4,1,5,4,3,4,4,4,6,-1,-1,-1,-1,-1,-1,2,3,4,4,3,2,2,3,3,3,2,2,2,3,4,3,2,2
927,1,4,3,3,1,1,6,1,6,4,5,2,2,3,2,2,2,2,1,1,1,2,2,2,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1
928,6,4,3,2,2,1,1,1,5,4,2,3,3,3,3,1,1,1,1,1,1,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
929,1,1,1,2,1,1,3,1,2,6,6,3,3,5,5,1,1,1,1,1,2,2,4,5,6,1,1,2,4,6,6,4,2,1,2,6,6,1,1
930,6,3,4,1,1,1,2,0,1,4,3,5,4,6,6,1,1,2,1,2,3,2,3,4,6,4,4,2,4,4,4,4,3,2,2,3,3,3,2
931,2,3,3,3,-1,1,2,1,5,4,2,3,4,5,5,1,1,1,1,1,2,2,5,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
932,1,1,1,2,1,-1,2,1,5,5,4,6,5,5,6,1,1,2,2,2,2,2,6,6,6,3,2,2,2,2,5,2,2,2,2,1,1,1,2
933,3,3,2,2,1,1,4,1,6,4,4,6,2,3,4,1,1,1,1,1,1,2,5,6,6,1,4,2,4,6,6,1,3,1,5,1,1,1,3
934,-1,3,3,1,1,1,4,1,2,4,4,5,2,3,2,1,1,2,1,1,1,2,3,4,5,3,4,2,2,3,4,1,2,2,3,3,3,1,2
935,5,6,4,2,3,1,5,1,6,4,3,4,4,5,5,2,2,2,2,3,1,2,-1,3,6,6,5,2,-1,6,6,6,3,2,3,4,6,4,2
936,2,7,7,2,-1,1,3,1,6,3,3,3,3,2,3,1,1,1,1,1,1,2,2,3,6,5,1,2,2,3,6,5,1,2,2,2,6,5,1
937,2,1,6,4,-1,1,2,1,6,6,3,5,5,3,6,2,3,3,3,2,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1
938,1,3,6,3,3,1,1,1,6,3,3,3,3,2,2,2,2,2,2,2,2,1,3,2,1,1,3,1,2,2,1,1,2,1,1,2,1,1,2
939,1,5,3,2,2,1,3,1,3,6,6,6,2,5,5,1,1,2,1,1,1,2,3,6,6,6,2,2,3,6,6,6,2,1,1,1,5,1,1
940,2,4,2,2,-1,1,3,1,4,5,3,3,2,3,5,1,1,1,1,1,1,2,3,4,6,4,2,2,3,6,6,4,2,2,3,6,6,4,2
941,2,3,2,3,-1,1,2,1,2,6,6,6,3,4,4,1,1,1,1,1,1,3,3,2,5,4,1,2,1,1,3,1,1,1,2,2,1,2,1
942,5,4,5,3,2,1,3,1,6,6,1,3,4,6,6,1,2,2,1,1,2,-1,6,5,6,6,5,3,6,5,6,6,-1,4,4,4,6,6,4
943,1,2,2,3,-1,1,6,1,6,1,1,1,6,3,6,-1,-1,-1,-1,-1,-1,2,3,6,6,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
944,1,2,2,1,4,1,1,1,4,2,2,2,6,6,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1
945,3,1,2,2,1,1,2,1,6,6,2,5,2,4,6,1,1,1,1,1,2,2,3,4,2,4,2,2,6,3,3,6,1,2,2,2,1,2,1
946,6,5,6,4,-1,1,1,1,1,1,1,6,3,3,3,2,2,1,1,1,1,1,2,4,6,1,2,1,3,5,6,1,2,1,2,5,6,1,2
947,1,3,3,1,-1,1,2,1,6,5,3,3,3,5,6,-1,-1,-1,-1,-1,-1,1,4,4,1,2,2,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
948,2,1,1,3,3,1,1,1,1,2,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,1,2
949,1,2,1,-1,-1,1,2,1,5,3,4,4,2,4,4,-1,-1,-1,-1,-1,-1,1,2,2,6,2,1,1,1,1,2,1,1,1,1,1,2,1,1
950,2,3,4,2,5,1,3,1,6,6,6,6,1,6,6,1,1,1,8,8,1,2,4,2,6,6,1,1,2,1,1,1,1,1,2,1,1,1,1
951,2,2,-1,-1,-1,1,1,1,1,4,2,6,5,4,4,1,2,2,2,1,3,4,5,3,6,3,1,-1,-1,6,6,1,-1,3,-1,-1,-1,-1,-1
952,-1,1,1,1,1,1,1,1,6,6,6,6,4,6,6,1,1,1,1,1,1,2,3,4,2,1,2,2,-1,3,2,1,-1,-1,-1,-1,-1,-1,-1
953,3,6,4,3,3,1,1,1,1,6,2,4,4,4,4,2,2,2,2,2,2,2,2,5,6,1,2,2,2,6,6,1,2,2,2,3,2,1,2
954,6,5,6,1,3,1,1,1,6,1,4,3,6,4,6,2,2,2,2,2,2,3,6,6,6,2,6,4,6,6,6,2,4,6,6,6,6,2,2
955,1,3,5,3,-1,-1,4,1,4,3,3,3,3,3,5,2,2,2,2,2,2,1,1,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1
956,1,7,7,1,1,-1,1,0,1,1,3,6,1,2,1,1,1,1,1,1,3,1,1,2,3,1,2,1,1,6,6,1,1,1,1,1,-1,1,1
957,1,2,4,1,1,1,3,1,6,6,6,6,2,6,5,1,1,1,1,1,1,2,4,3,2,1,4,2,2,2,1,1,2,1,2,1,1,1,1
958,2,5,4,3,2,1,3,1,3,6,2,6,5,6,6,1,2,2,2,2,1,2,6,3,5,6,4,2,3,3,5,6,2,2,4,5,5,6,2
959,2,4,3,2,2,1,1,1,3,6,6,6,4,5,5,1,1,1,1,1,2,2,4,6,5,2,5,2,2,3,3,2,2,2,4,-1,5,2,2
960,2,6,5,3,3,1,2,1,4,3,3,4,2,5,5,2,2,2,2,2,2,1,1,2,6,5,1,1,1,2,6,5,1,1,1,2,5,-1,-1
961,1,7,7,3,3,1,4,1,6,3,6,4,3,3,5,2,2,2,8,8,2,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
962,4,1,2,2,-1,1,2,1,6,6,3,6,1,6,2,1,1,1,1,1,1,1,2,3,4,1,2,1,2,3,4,1,2,1,1,2,3,1,1
963,6,2,6,1,1,1,2,1,6,3,3,5,5,5,6,8,1,1,2,2,1,6,6,5,6,2,5,1,1,1,1,1,1,1,1,1,1,1,1
964,1,1,2,3,2,1,1,1,3,4,2,5,3,5,5,2,8,2,2,8,2,2,2,6,6,2,3,1,1,1,1,1,1,1,1,1,1,1,1
965,3,2,2,3,-1,1,2,1,6,3,5,-1,5,5,5,2,2,2,8,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
966,2,4,3,-1,3,1,2,1,6,6,5,5,3,5,6,2,2,2,2,2,2,2,5,6,6,1,2,2,3,2,2,1,1,2,1,2,2,1,1
967,1,1,7,3,5,0,6,1,6,6,6,6,1,1,1,1,1,3,1,1,3,6,6,6,6,1,2,6,6,6,6,1,2,2,2,2,2,1,1
968,1,1,1,2,-1,1,1,1,3,3,3,4,2,1,4,-1,-1,-1,-1,-1,-1,1,6,4,6,2,2,1,1,1,1,1,1,1,6,3,6,2,2
969,2,1,2,2,2,1,1,1,6,6,6,6,5,6,6,1,1,1,1,1,1,5,5,6,6,2,2,2,2,2,3,1,1,2,2,5,5,1,2
970,4,5,3,2,3,1,3,1,5,4,3,4,4,6,5,2,2,2,1,1,1,2,3,4,4,4,4,2,3,3,2,3,2,2,2,2,2,2,1
971,1,2,3,2,1,1,1,1,6,5,2,5,1,4,4,8,8,8,8,8,2,1,2,4,5,2,2,1,1,3,1,1,2,1,2,1,1,1,2
972,1,5,3,4,4,1,4,1,6,6,2,5,1,4,6,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
973,1,1,2,1,2,1,3,1,1,5,5,6,6,6,6,1,1,1,1,1,1,2,6,6,6,6,2,1,6,4,3,6,1,1,6,2,2,-1,1
974,1,3,2,3,3,1,3,1,5,5,5,6,2,4,4,1,1,2,1,1,2,2,3,5,5,1,2,1,1,3,3,1,1,1,1,1,1,1,1
975,1,1,2,1,1,1,2,1,2,5,6,-1,2,6,5,1,1,1,1,1,2,2,5,4,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1
976,6,2,1,2,1,1,2,1,2,2,2,3,4,4,6,1,1,1,1,1,1,6,5,6,6,5,3,4,3,5,5,2,2,2,2,4,3,1,1
977,1,4,4,3,1,1,2,1,6,4,3,5,5,3,4,1,2,2,1,1,2,4,5,6,6,1,1,2,2,1,2,1,1,2,2,1,2,1,1
978,2,6,5,2,1,1,1,1,4,6,1,6,2,6,5,1,1,1,1,1,2,2,5,5,6,3,2,2,2,2,1,1,1,2,2,1,1,1,-1
979,2,1,1,3,3,1,1,1,1,1,1,2,5,4,3,2,2,2,2,2,2,4,4,5,6,1,4,1,1,1,1,1,1,1,1,1,1,1,1
980,6,4,6,4,2,1,6,1,6,5,4,5,6,6,6,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,3,2,1,5
981,1,2,3,3,1,1,2,1,6,3,3,3,2,2,4,1,2,2,2,2,2,2,1,4,5,2,2,1,1,2,1,1,1,2,1,2,1,1,1
982,2,1,2,3,3,1,6,1,6,5,6,5,4,5,5,2,2,2,2,1,1,6,4,5,6,5,4,3,3,2,4,3,2,2,2,1,2,2,2
983,1,1,1,3,3,1,1,1,1,4,3,5,1,6,3,1,8,2,8,8,2,1,2,1,5,1,2,1,1,1,5,1,2,1,1,1,5,1,1
984,1,1,3,2,2,1,1,1,5,1,3,1,3,5,6,1,1,1,1,1,1,2,4,4,6,2,5,1,4,1,4,1,1,1,1,1,1,1,1
985,2,7,7,2,1,1,1,1,2,4,5,5,1,4,5,1,1,8,8,8,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
986,6,1,2,3,3,1,3,1,6,4,3,5,6,5,6,2,2,1,2,1,1,2,3,6,2,6,2,2,3,6,2,6,3,2,3,6,2,6,2
987,3,4,4,5,3,1,6,1,6,4,5,5,3,6,6,2,2,3,2,-1,-1,2,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1
988,4,6,4,3,2,1,5,1,6,5,4,6,4,6,6,1,1,2,1,1,1,2,4,6,6,2,4,2,3,6,6,2,3,3,3,5,5,2,2
989,3,3,3,2,2,1,1,1,6,5,4,6,3,3,3,1,1,1,1,1,1,2,1,6,6,3,3,2,2,2,2,1,3,2,2,-1,2,1,3
990,3,4,3,-1,-1,1,1,1,3,4,5,5,3,5,6,-1,-1,-1,-1,-1,-1,1,2,2,3,1,2,1,1,1,1,1,1,1,2,2,1,1,1
991,2,4,2,3,-1,1,4,1,6,4,2,4,1,1,1,8,8,8,8,8,2,1,4,4,6,3,3,1,2,3,1,1,1,1,1,1,1,1,1
992,5,1,1,2,3,1,2,1,2,4,2,4,4,3,4,2,1,2,1,2,1,4,3,6,6,1,3,3,2,5,3,1,2,2,2,6,4,1,2
993,2,2,3,4,2,1,3,1,4,4,4,5,4,5,5,-1,-1,-1,-1,-1,-1,1,3,2,1,1,2,1,3,1,1,1,2,1,2,1,1,1,2
994,2,6,5,3,2,1,2,1,4,3,1,4,2,4,4,1,1,2,1,1,2,2,5,6,6,2,4,1,1,1,2,1,1,1,1,1,2,1,1
995,1,6,5,3,3,1,6,1,6,6,6,6,3,6,6,2,1,2,2,1,2,2,3,5,6,1,2,1,4,6,6,1,2,2,3,5,6,1,2
996,2,7,7,2,3,1,1,1,1,5,5,4,2,5,3,2,2,2,1,1,2,1,1,6,6,1,5,1,1,6,6,1,5,1,1,6,6,1,5
997,1,7,7,1,1,1,1,0,1,5,5,5,1,6,5,1,1,1,1,1,1,3,1,6,6,6,4,1,1,6,6,6,5,3,1,6,6,6,4
998,2,3,3,2,2,1,2,1,5,3,1,5,1,3,4,2,1,2,8,8,8,1,1,3,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1
999,3,3,6,1,1,1,4,1,6,6,6,6,1,5,5,1,1,1,1,1,1,1,3,4,6,2,2,1,3,4,6,2,2,1,1,2,6,1,2
1000,3,4,5,-1,-1,1,6,1,6,2,2,3,3,4,6,2,2,2,2,2,2,1,4,5,6,4,4,1,5,5,6,4,4,1,5,5,6,4,4
1001,6,4,4,3,3,1,6,1,6,6,5,5,3,3,3,1,1,1,1,1,1,1,2,6,6,6,6,1,6,6,6,6,6,2,6,6,6,6,6
1003,2,1,3,-1,-1,1,2,1,2,6,5,5,6,6,6,1,1,1,1,1,1,2,4,4,5,4,2,2,2,2,3,2,2,2,2,4,4,2,2
1004,3,2,4,2,2,1,2,1,1,4,3,6,4,4,3,-1,-1,-1,-1,-1,-1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1
1005,1,7,7,3,3,1,1,1,6,6,3,6,1,6,3,2,2,8,8,8,1,1,1,6,6,6,2,1,2,6,4,6,1,1,1,6,3,1,1
1006,6,6,1,3,3,1,4,1,1,3,1,4,6,6,6,1,1,1,1,1,2,2,6,6,6,6,3,1,2,1,1,2,1,1,1,1,1,1,1
1007,2,3,3,2,1,1,1,1,6,3,2,6,4,6,6,1,1,1,1,1,1,5,6,6,6,2,5,4,5,6,6,2,5,3,4,5,5,2,4
1008,2,2,2,2,1,1,2,1,6,2,2,6,3,3,1,1,1,1,1,1,2,2,5,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1
1009,2,1,4,-1,-1,1,1,1,4,2,2,-1,1,4,5,1,1,1,1,1,-1,2,3,3,4,2,2,2,3,3,1,1,2,2,-1,1,-1,1,1
1010,6,2,2,3,3,1,6,1,6,2,2,4,6,2,3,2,2,2,2,2,2,3,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2
1011,6,3,1,2,1,1,1,1,6,3,4,6,4,6,6,1,1,1,2,1,1,1,2,4,4,1,4,2,1,1,1,1,1,1,1,2,1,1,2
1013,1,2,2,2,1,1,1,1,6,6,2,6,6,6,6,1,1,1,1,1,2,4,4,6,6,2,4,2,1,5,5,1,2,2,1,6,6,1,2
1014,1,2,2,3,1,1,2,1,6,1,2,5,3,6,6,1,1,2,1,1,2,2,3,2,1,1,2,2,1,1,1,1,3,1,1,1,1,1,1
1015,2,1,1,-1,-1,1,1,1,1,6,6,6,2,6,2,8,8,8,8,8,1,1,2,6,6,1,4,1,1,1,1,1,1,1,2,6,6,1,2
1016,1,2,3,2,2,0,3,-1,3,2,2,2,4,4,4,1,1,-1,2,1,1,1,1,2,-1,2,1,3,-1,2,5,4,3,3,2,2,-1,2,1
1017,4,6,4,2,2,1,1,1,5,6,3,4,4,6,6,1,1,1,1,1,2,3,4,6,6,4,4,2,4,6,6,6,4,2,4,6,6,2,4
1018,2,6,6,1,1,1,1,1,1,6,6,5,6,6,6,1,1,1,1,1,1,3,3,3,1,1,2,4,2,1,1,1,2,1,2,1,1,1,1
1019,1,1,1,4,-1,1,-1,1,6,6,3,5,2,3,6,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020,1,2,2,2,2,1,2,1,3,4,5,2,2,2,2,2,1,1,8,8,2,1,3,3,3,1,3,1,3,2,2,1,3,1,1,2,1,1,2
1021,1,1,4,1,1,1,2,1,4,3,3,4,4,4,4,1,1,1,1,1,1,1,1,5,6,1,1,4,4,4,4,4,4,-1,-1,-1,-1,-1,-1
1022,3,3,5,2,2,1,1,1,6,3,4,6,3,6,4,1,1,2,1,2,2,2,4,4,4,3,1,3,4,4,4,4,3,3,3,2,3,1,1
1023,-1,1,2,2,2,1,2,1,6,5,4,6,5,5,4,1,1,2,1,1,2,2,5,4,6,1,3,2,3,4,5,1,2,2,4,4,5,1,2
1024,3,4,6,1,3,1,2,1,6,5,3,6,2,6,6,2,1,2,2,2,2,1,5,6,5,1,2,1,5,6,5,1,2,1,5,6,5,1,2
1025,1,3,2,3,2,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,2,3,4,6,4,3,3,3,5,6,3,3,3,2,4,5,2,3
1026,1,2,1,3,-1,1,4,1,6,6,3,5,4,6,6,2,2,2,2,2,1,1,5,5,5,1,1,1,5,1,4,1,1,1,5,4,3,1,1
1027,6,6,5,2,-1,1,5,1,6,5,5,5,3,4,4,1,1,1,1,1,1,1,2,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1
1028,3,2,5,2,1,1,6,1,6,5,1,5,1,1,1,1,1,1,8,1,1,1,6,4,6,1,1,1,6,4,6,1,1,1,6,4,6,1,1
1029,1,1,1,3,3,1,6,1,6,5,4,4,6,6,6,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1030,2,2,2,2,-1,1,2,1,4,6,3,4,2,3,3,2,2,2,2,2,2,2,3,-1,3,1,3,1,2,2,1,1,1,1,2,1,2,1,1
1031,1,3,2,2,2,1,6,1,6,6,2,4,6,6,6,1,1,1,1,1,1,1,1,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1032,1,7,7,-1,-1,1,1,0,3,4,1,4,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1033,1,2,6,2,2,1,4,1,6,6,6,6,5,6,5,1,1,2,1,8,2,3,6,1,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1
1034,4,5,3,2,-1,1,6,1,6,5,6,5,-1,6,6,2,8,2,8,8,1,1,2,6,6,1,2,1,1,1,1,1,1,1,2,3,2,1,2
1035,2,1,1,3,-1,1,2,1,6,5,1,4,6,6,6,1,2,2,1,2,2,5,4,6,6,3,2,2,2,2,2,2,2,2,2,1,1,1,1
1036,1,2,1,1,-1,1,2,1,6,1,1,3,4,3,5,2,2,2,2,2,2,1,2,3,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1037,4,2,2,-1,-1,1,6,1,6,6,6,6,3,2,5,2,3,2,2,2,3,1,2,4,6,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1038,1,6,5,4,2,1,4,1,6,4,5,6,4,5,5,2,2,3,1,1,3,2,3,5,6,2,2,2,2,1,3,1,2,1,1,1,1,1,1
1039,1,4,3,2,1,1,4,1,6,4,5,6,5,6,6,1,1,1,1,1,1,3,3,6,6,3,2,2,2,1,2,1,2,2,2,3,3,1,1
1040,1,1,2,2,2,1,4,1,6,6,3,6,5,5,5,1,1,2,1,1,2,2,5,6,6,2,5,1,3,4,1,1,4,1,2,2,1,1,3
1041,1,2,2,2,2,1,1,1,5,2,2,5,4,4,5,1,1,2,1,1,2,2,4,5,5,3,4,2,1,1,1,1,3,1,1,1,1,1,1
1042,1,6,4,4,2,1,2,1,6,4,3,5,4,6,5,8,8,2,8,8,2,3,3,6,6,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1043,1,3,4,4,-1,1,1,1,6,3,2,3,6,6,6,8,8,1,8,8,2,2,2,2,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1044,6,2,2,-1,-1,1,1,1,3,4,1,3,6,3,6,-1,-1,8,8,8,-1,2,4,3,1,1,5,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,5
1045,2,3,5,2,2,1,6,1,6,6,6,6,3,6,3,1,1,1,1,1,1,2,4,2,5,1,2,1,2,2,4,1,2,1,2,2,4,1,2
1046,6,2,6,2,-1,1,1,1,5,5,3,6,5,5,6,2,1,-1,-1,1,1,2,3,4,3,1,3,2,3,3,3,1,2,3,3,4,3,1,3
1047,2,1,6,3,-1,1,1,1,6,2,1,-1,5,5,6,1,1,2,1,1,2,2,6,6,6,5,4,2,4,-1,6,1,1,2,2,3,-1,1,1
1048,1,6,5,-1,-1,1,1,1,1,6,3,3,1,1,1,-1,-1,-1,-1,-1,-1,1,3,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1049,2,1,2,-1,-1,-1,1,1,3,4,1,3,2,3,2,-1,-1,-1,-1,-1,-1,2,2,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1050,1,1,2,4,3,1,2,1,3,5,4,6,2,5,3,2,8,2,2,2,2,1,3,2,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1051,1,4,2,3,2,1,5,1,4,6,6,6,5,5,6,2,1,2,1,1,3,2,4,6,6,1,4,1,1,1,1,1,1,1,1,1,1,1,1
1052,6,6,6,5,5,1,6,1,6,6,6,6,6,6,6,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1053,6,6,6,3,2,1,1,1,6,4,6,6,2,3,1,1,8,2,1,1,1,2,2,4,6,4,2,2,2,4,6,4,2,2,2,4,6,4,2
1054,3,2,2,3,3,1,6,1,5,5,2,3,6,4,4,1,2,2,2,1,1,5,4,4,6,5,6,4,5,5,6,6,5,4,4,5,6,4,5
1055,3,2,3,3,1,1,3,1,1,6,5,6,3,5,4,2,2,2,2,2,2,1,1,6,6,2,2,1,1,6,6,3,3,1,2,6,6,3,2
1056,3,2,2,3,3,1,1,1,6,3,2,4,3,3,5,2,2,2,2,2,2,1,2,2,6,6,1,1,2,2,2,2,2,2,2,2,6,5,4
1057,1,3,2,1,1,1,2,1,5,5,5,6,1,2,5,1,1,2,2,1,2,1,3,3,3,1,2,2,4,4,4,1,2,1,2,3,2,1,1
1058,6,2,1,-1,-1,1,4,-1,6,5,4,4,6,6,6,1,1,2,1,1,1,2,6,4,6,1,2,2,4,5,6,1,2,2,4,5,6,1,-1
1059,2,4,4,-1,2,1,4,1,6,6,3,3,4,4,4,2,2,2,2,2,2,1,4,4,5,1,1,1,1,4,4,1,1,1,1,4,4,1,1
1060,3,2,2,4,4,1,3,1,5,5,6,5,3,2,3,3,8,2,8,8,2,2,3,3,2,1,1,-1,2,1,1,1,1,2,1,1,1,1,1
1061,2,2,2,2,2,1,1,1,6,6,5,6,6,6,6,1,2,1,2,2,8,1,5,5,5,1,2,1,5,5,5,1,2,1,2,3,5,2,1
1062,2,3,4,3,3,1,2,1,4,6,4,4,6,6,6,2,2,2,2,2,2,3,3,3,3,3,3,1,1,4,6,3,3,2,2,2,2,2,2
1063,1,3,2,1,3,1,1,1,3,2,3,5,2,2,5,8,8,1,8,8,2,1,2,2,5,2,2,1,3,2,4,3,2,1,3,2,4,3,2
1064,1,6,3,1,1,1,1,1,2,6,6,3,2,6,6,1,1,1,1,1,1,2,5,6,6,2,2,2,4,5,5,2,2,2,2,1,3,1,2
1065,3,1,2,2,3,1,2,1,2,6,2,6,6,5,6,1,2,2,1,2,2,5,5,5,6,1,3,4,2,5,5,1,3,4,2,5,6,1,2
1066,4,3,5,4,3,1,3,1,3,1,1,4,3,6,6,2,1,2,2,2,1,2,2,2,6,2,2,1,2,2,4,2,4,1,2,3,5,2,2
1067,5,6,6,3,1,1,1,1,5,6,5,6,4,4,5,3,2,3,3,3,1,2,2,4,5,1,2,2,2,3,5,1,2,2,2,5,5,1,2
1068,6,3,2,2,2,1,1,1,1,6,3,4,4,3,6,2,2,1,1,1,2,2,5,6,6,6,2,1,4,6,6,2,2,2,3,6,6,2,2
1069,6,3,2,1,2,1,1,1,6,6,3,6,2,3,3,1,2,1,1,1,2,2,2,2,2,1,1,2,4,4,4,1,2,1,2,2,2,1,1
1070,2,2,2,-1,-1,1,1,1,1,3,2,6,3,3,3,2,1,2,1,1,2,1,3,3,6,1,1,-1,-1,-1,-1,-1,-1,1,3,2,6,4,1
1071,6,3,2,4,4,1,6,1,6,2,4,6,6,6,6,2,2,2,2,2,2,4,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6
1072,5,1,1,2,1,1,3,0,6,5,3,6,5,4,6,2,2,2,2,1,2,2,5,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1
1073,1,3,2,-1,1,1,3,1,3,5,5,6,4,5,6,1,1,2,1,1,1,1,3,2,6,6,2,1,3,2,6,6,2,1,3,2,6,6,2
1074,1,3,2,3,2,1,3,1,4,6,6,6,5,4,5,2,8,2,8,8,1,2,3,6,5,2,3,1,2,2,3,2,2,2,2,2,3,1,1
