,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d
692,1,1,1,1,1,1,7,4,1
693,3,2,2,3,3,1,1,3,4
694,1,2,3,2,2,1,6,1,1
695,4,4,4,4,4,1,1,1,4
696,2,3,1,3,1,1,3,4,3
697,1,2,2,2,1,1,1,7,6
698,2,3,2,3,3,8,8,-1,3
699,4,4,4,4,4,8,8,4,4
700,4,4,4,3,1,1,7,4,3
701,1,1,1,3,1,2,7,3,4
702,3,3,3,3,3,1,1,2,6
703,3,3,2,3,2,1,1,1,4
704,4,3,2,3,2,1,1,5,5
705,2,3,3,2,2,1,1,4,7
706,1,1,1,1,1,7,7,1,1
707,2,3,2,4,2,1,8,4,3
708,1,1,1,1,1,1,6,1,1
709,2,3,3,3,3,1,1,1,7
710,4,4,4,4,4,1,1,4,6
711,2,2,2,2,2,1,1,4,4
712,3,2,1,1,1,1,6,4,2
713,2,4,4,4,4,8,8,4,3
714,3,3,3,3,3,1,1,1,7
715,1,1,1,1,1,1,5,1,1
716,3,3,3,3,3,1,2,3,6
717,1,-1,1,1,1,1,8,7,1
718,4,1,4,2,2,1,7,4,2
719,3,2,2,2,2,1,7,2,1
720,1,1,1,1,1,1,7,5,2
721,3,2,2,3,2,1,1,4,3
722,3,3,1,4,4,1,7,4,4
723,1,1,1,1,1,1,1,7,1
724,3,4,2,3,2,1,7,1,3
725,1,1,1,2,2,1,7,2,3
726,1,2,1,1,2,1,7,1,6
727,-1,-1,-1,-1,-1,-1,-1,1,2
728,1,3,1,3,2,1,7,2,1
729,1,1,1,1,3,1,6,2,3
730,2,3,2,3,3,1,7,7,3
731,4,4,4,4,4,1,7,2,2
732,4,3,4,4,3,1,1,-1,5
733,2,3,2,2,2,1,1,4,6
734,3,2,2,2,2,1,8,6,7
735,1,1,1,1,1,1,5,2,1
736,4,2,2,3,4,1,8,7,4
737,1,2,1,1,1,1,7,3,1
738,1,2,2,3,3,1,8,4,1
739,1,1,1,2,1,1,7,4,1
740,4,3,3,3,1,1,1,4,8
741,4,4,3,3,4,8,2,7,6
742,1,1,1,1,1,1,7,2,1
743,2,2,1,-1,1,1,7,2,3
744,4,4,4,4,4,8,2,6,5
745,4,3,2,2,3,1,8,4,4
746,4,3,4,4,3,1,1,4,7
747,2,-1,3,2,2,1,8,3,6
748,4,3,1,3,2,1,7,4,3
749,4,4,4,3,4,1,8,3,1
750,3,4,2,2,3,1,1,5,5
751,1,1,2,-1,3,8,7,4,2
752,2,2,2,2,2,1,5,3,2
753,3,3,3,3,3,1,8,-1,6
754,2,3,2,2,2,1,3,2,3
755,1,1,1,1,1,1,1,4,3
756,3,3,2,3,3,1,6,5,3
757,4,4,-1,-1,4,2,2,2,6
758,2,2,2,2,2,7,5,-1,-1
759,2,2,3,3,3,1,1,4,6
760,2,2,2,3,2,1,1,4,7
761,1,1,1,1,1,1,5,1,1
762,1,1,1,1,1,1,7,1,1
763,1,1,1,1,1,1,5,3,3
764,2,2,2,3,2,1,3,1,1
765,1,1,1,1,1,1,7,1,1
766,2,1,1,1,1,1,7,4,1
767,2,2,2,2,2,1,1,4,4
768,4,3,4,4,3,3,2,7,7
769,4,4,4,4,4,1,8,4,1
770,1,1,1,1,1,1,8,4,1
771,2,3,2,3,2,1,8,1,2
772,1,1,1,1,1,1,3,2,2
773,3,3,3,3,3,7,-1,6,1
774,1,1,1,1,1,1,7,1,1
775,2,3,3,3,3,7,7,-1,6
776,1,4,4,4,4,3,8,7,6
777,2,3,2,2,3,1,3,4,1
778,3,4,3,3,2,1,1,4,2
779,2,2,2,2,2,1,6,4,3
780,1,4,3,1,3,1,7,1,5
781,3,3,2,2,2,1,8,3,3
782,1,1,1,1,1,1,5,4,2
784,2,3,2,3,2,1,1,3,3
785,3,3,2,3,3,1,6,4,3
786,1,3,1,2,2,1,8,2,2
787,4,4,3,3,2,1,1,5,3
788,3,2,2,3,2,1,1,3,3
789,4,4,3,4,4,1,2,4,4
790,1,1,1,1,1,1,6,2,2
791,3,3,3,3,1,2,8,1,8
792,2,3,3,3,3,1,1,5,2
793,1,4,4,-1,2,1,1,4,4
794,2,2,3,3,1,8,8,4,1
795,3,4,2,3,3,1,8,7,2
796,1,2,2,3,2,7,3,1,3
797,4,4,4,4,4,8,8,1,6
798,1,1,1,1,1,7,7,4,2
799,2,2,2,3,2,1,1,2,3
800,2,2,2,4,3,2,8,7,3
801,4,4,4,4,4,8,-1,6,8
802,4,4,4,3,4,2,2,3,3
803,2,2,1,2,2,1,3,1,1
804,4,4,3,4,3,8,8,4,2
805,4,4,4,4,4,8,8,7,8
806,2,2,2,3,2,6,8,4,2
807,2,3,2,3,3,8,8,4,2
808,3,3,3,3,3,8,8,4,3
809,1,1,1,1,1,1,3,4,1
810,3,3,2,3,3,2,2,5,4
811,2,3,2,3,3,1,7,5,5
812,-1,-1,-1,-1,-1,-1,-1,-1,-1
813,1,3,1,3,2,1,7,4,2
814,2,3,3,3,3,1,1,4,6
815,3,3,2,3,2,2,8,3,3
816,3,3,3,3,3,1,1,7,8
817,3,4,4,4,3,2,8,4,8
818,4,4,3,3,4,1,1,1,5
819,2,2,2,2,2,2,7,4,1
820,4,4,4,4,4,8,8,5,7
821,1,1,-1,1,1,8,5,1,2
822,1,2,1,1,1,2,6,3,3
823,4,2,3,4,4,8,8,4,1
824,1,1,1,1,1,7,3,1,1
825,1,1,1,1,1,2,6,1,1
826,4,3,3,3,3,2,8,4,3
827,1,1,1,1,4,6,6,4,1
828,3,3,1,3,1,1,7,3,2
829,1,1,1,1,1,2,2,2,6
830,2,2,2,2,2,1,8,4,6
831,4,4,3,4,4,1,1,6,5
832,2,3,2,2,2,2,8,3,3
833,4,4,4,4,4,1,1,5,6
834,4,4,4,3,3,1,2,5,8
835,1,1,1,3,3,2,8,1,1
836,1,1,1,1,1,8,8,4,1
837,1,1,1,1,1,8,6,1,3
838,1,-1,1,1,1,2,5,1,1
839,4,4,2,3,4,2,8,3,2
840,4,4,4,4,4,8,8,4,5
841,4,4,3,4,4,1,8,6,5
842,1,2,2,3,2,3,7,2,3
843,3,4,4,2,4,2,1,2,7
844,3,4,4,4,4,8,-1,4,8
845,1,1,1,2,1,2,4,4,1
846,1,1,1,3,1,8,5,3,1
847,1,2,1,2,2,7,7,4,1
848,1,1,1,3,1,7,6,1,1
849,3,3,2,3,2,1,1,4,1
850,4,4,4,4,4,1,2,4,8
851,2,3,2,2,2,7,7,2,1
852,1,2,1,2,1,6,8,4,4
853,1,1,1,1,1,8,8,1,1
854,3,3,3,3,3,1,4,1,5
855,3,3,1,2,3,1,7,4,1
856,4,4,3,4,3,1,8,7,4
857,1,1,1,1,1,1,7,4,1
858,4,4,4,4,4,1,1,3,5
859,3,4,3,3,3,7,3,4,2
860,1,1,1,1,2,8,7,4,2
861,1,1,1,1,1,7,7,4,1
862,1,1,1,1,1,7,3,4,1
863,3,4,3,3,4,2,8,4,3
864,1,1,1,2,1,1,6,5,2
865,1,3,2,3,3,8,8,5,4
866,1,1,1,1,1,6,6,4,1
867,3,2,2,3,3,8,8,4,2
868,3,3,2,2,1,1,8,1,4
869,4,4,4,4,4,1,3,2,3
870,1,3,1,3,3,8,8,5,2
871,1,1,1,1,1,8,6,3,1
872,1,1,1,1,1,1,3,1,1
873,1,1,1,1,1,3,6,4,1
874,1,4,4,4,4,1,8,7,1
875,1,2,1,1,1,8,8,4,2
876,1,1,1,1,1,1,8,1,1
877,2,3,2,2,2,7,7,4,3
878,2,2,1,3,2,6,6,4,4
879,2,2,1,3,2,6,6,1,2
880,4,3,3,3,3,1,1,-1,4
881,1,1,1,1,1,1,7,2,1
882,3,3,3,-1,2,1,1,2,4
883,2,3,2,3,4,8,8,7,1
884,2,1,2,3,1,1,1,4,3
885,2,2,1,3,1,1,7,2,1
886,3,3,2,3,3,1,1,3,3
887,4,4,4,4,4,1,1,1,8
888,1,1,1,1,1,6,5,4,1
889,2,2,2,2,2,7,6,1,7
890,1,1,1,1,1,3,6,4,1
891,1,1,1,3,3,7,5,1,1
892,4,4,4,4,4,8,8,6,4
893,1,1,1,1,1,3,5,7,3
894,3,3,3,3,3,1,2,4,7
895,3,4,3,3,3,4,1,4,5
896,2,3,2,1,2,8,8,4,5
897,1,2,1,2,2,1,3,2,3
898,2,2,2,2,2,2,6,4,2
899,3,3,3,3,3,8,8,1,3
900,1,1,1,1,1,2,7,4,1
901,2,3,4,3,3,7,7,6,8
902,4,4,4,4,4,8,8,4,7
903,4,4,4,4,4,8,8,7,-1
904,2,3,1,3,3,2,7,6,3
905,2,4,2,3,3,8,3,3,4
906,2,4,1,3,4,1,8,1,3
907,2,2,3,4,4,-1,8,1,7
908,1,1,1,1,-1,6,3,4,3
909,1,1,1,3,4,6,6,4,2
910,2,3,3,3,3,1,1,4,6
911,1,2,2,2,2,6,7,4,1
912,1,1,1,1,1,5,5,2,1
913,1,2,1,3,2,8,7,5,2
915,1,1,1,1,1,7,6,3,1
916,1,3,1,1,1,8,3,5,1
917,1,1,1,1,1,6,6,1,3
918,1,1,1,2,1,8,6,4,1
919,1,4,3,2,4,2,2,2,4
920,1,1,1,1,1,2,7,1,1
921,3,2,2,4,3,4,4,4,3
922,1,1,1,4,4,2,6,7,1
923,3,3,3,3,3,2,2,4,3
924,2,3,3,3,3,2,2,3,7
925,2,3,2,3,3,7,3,1,1
926,3,4,2,3,3,7,7,2,3
927,2,3,2,3,2,1,8,3,2
928,1,1,1,1,1,8,3,2,1
929,3,3,4,4,4,7,8,6,5
930,2,3,2,3,3,2,2,2,4
931,1,1,1,3,1,7,6,6,1
932,3,4,2,3,4,7,3,2,4
933,3,3,3,3,3,7,7,6,7
934,4,4,4,3,4,7,7,-1,8
935,1,1,1,2,1,7,7,4,3
936,2,3,3,3,3,1,1,4,4
937,1,3,2,3,2,1,8,5,1
938,3,3,3,3,3,8,8,7,4
939,4,4,3,3,3,6,8,6,1
940,3,3,2,3,3,1,7,2,2
941,1,1,1,1,1,7,7,4,1
942,4,4,3,4,4,1,6,-1,5
943,1,1,1,1,1,8,8,4,1
944,1,4,1,4,3,1,1,1,4
945,4,3,3,3,4,8,8,2,7
946,4,1,4,4,1,1,-1,4,3
947,3,3,2,3,3,8,-1,1,3
948,1,1,1,1,1,8,8,4,1
949,2,3,2,3,3,1,1,4,4
950,4,3,1,1,2,4,3,1,1
951,4,2,4,3,4,1,7,4,7
952,1,1,1,3,1,5,7,4,1
953,2,2,2,3,2,4,7,1,4
954,1,2,2,2,3,7,8,4,3
955,3,4,2,3,4,1,1,2,5
956,4,4,3,3,3,1,1,4,7
957,2,3,3,4,3,1,8,7,1
958,4,4,3,4,4,8,8,1,3
959,4,4,4,3,3,2,2,6,7
960,3,4,3,4,3,7,8,5,4
961,1,1,1,1,1,5,5,4,1
962,2,3,3,3,2,1,2,4,5
963,1,1,1,1,1,7,7,4,1
964,1,1,1,1,1,2,7,4,5
965,4,4,4,4,4,2,2,2,8
966,3,3,3,3,3,2,8,4,6
967,4,4,4,4,4,8,8,4,8
968,1,1,1,1,1,8,7,4,1
969,1,1,1,1,1,5,5,7,1
970,1,2,1,1,3,7,8,6,1
971,1,3,2,3,3,2,2,7,7
972,4,4,2,4,4,8,8,1,2
973,2,2,2,-1,2,2,7,4,4
974,2,3,2,3,3,7,7,2,4
975,1,1,1,1,1,1,7,2,1
976,1,1,1,1,1,7,7,4,1
977,2,3,2,2,2,8,6,3,2
978,1,1,1,-1,1,7,8,4,1
979,2,3,3,3,2,2,2,4,4
980,4,3,4,4,3,1,1,6,6
981,1,1,1,1,1,1,5,1,1
982,3,4,2,3,3,2,2,5,3
983,1,1,1,1,1,8,5,4,1
984,2,2,2,3,1,2,2,3,4
985,2,2,1,3,2,3,3,4,2
986,1,4,4,4,4,1,8,7,1
987,1,1,1,3,3,7,7,4,3
988,3,4,4,3,3,-1,2,7,4
989,1,1,1,1,1,7,3,4,1
990,1,1,1,3,1,8,7,5,1
991,4,4,3,4,4,8,8,3,5
992,2,1,1,3,1,1,8,2,3
993,1,4,1,1,4,2,7,3,3
994,1,1,1,1,1,2,7,2,1
995,3,4,3,3,3,7,7,3,3
996,4,4,3,3,4,1,8,2,8
997,1,1,1,1,1,3,3,1,1
998,1,1,1,3,2,7,7,1,1
999,4,4,4,4,3,3,3,5,1
1000,3,3,3,3,3,8,8,4,6
1001,3,3,3,3,3,2,2,7,6
1003,1,1,1,1,1,1,7,2,1
1004,3,3,2,2,2,1,1,4,3
1005,1,3,1,3,2,1,1,1,-1
1006,2,2,2,3,3,3,3,5,2
1007,3,2,3,4,2,2,2,-1,6
1008,2,3,2,3,3,3,3,5,3
1009,1,1,1,1,1,2,7,4,3
1010,1,1,1,1,1,2,2,4,2
1011,1,1,1,2,3,3,3,5,4
1013,1,1,1,4,2,2,8,7,2
1014,3,3,3,3,3,2,2,7,4
1015,3,3,1,2,2,1,8,6,2
1016,1,1,1,1,1,6,4,3,-1
1017,4,4,4,4,4,8,8,4,2
1018,1,1,1,2,4,8,6,4,3
1019,-1,-1,-1,-1,-1,-1,-1,-1,3
1020,1,1,1,1,1,8,5,4,1
1021,1,1,1,1,1,1,5,4,1
1022,2,3,3,3,1,1,6,3,3
1023,1,1,1,3,3,7,5,3,1
1024,3,2,1,2,1,1,1,3,1
1025,1,2,3,2,2,8,8,4,2
1026,4,4,4,4,4,2,2,4,5
1027,3,4,2,4,4,2,8,2,2
1028,4,4,3,4,4,8,8,1,7
1029,2,4,2,4,4,7,7,1,1
1030,1,1,1,1,1,1,7,1,1
1031,1,1,1,3,1,8,6,1,1
1032,4,4,4,4,4,1,1,-1,8
1033,1,1,1,1,1,1,6,4,3
1034,3,3,3,3,3,1,1,3,6
1035,2,3,2,2,3,1,1,2,4
1036,3,3,1,3,2,1,7,1,4
1037,4,4,2,4,4,8,8,1,2
1038,3,3,2,2,3,8,8,2,7
1039,1,2,3,3,1,3,3,3,3
1040,4,4,4,4,4,1,8,5,8
1041,3,4,4,4,4,1,7,4,7
1042,-1,-1,-1,-1,-1,1,7,4,1
1043,4,4,3,2,2,5,8,4,4
1044,4,3,3,3,3,3,8,4,8
1045,2,3,3,3,2,1,8,5,1
1046,3,3,2,2,2,1,1,4,3
1047,4,4,4,3,4,1,-1,7,8
1048,3,2,1,1,3,1,1,1,3
1049,-1,-1,-1,-1,-1,5,5,-1,1
1050,1,1,1,2,1,1,6,4,3
1051,4,4,4,4,4,1,1,5,8
1052,3,3,3,3,3,1,1,1,5
1053,4,4,2,4,4,1,1,4,4
1054,4,4,4,4,4,1,1,6,7
1055,3,4,3,3,3,8,8,4,2
1056,2,2,2,2,2,1,7,5,1
1057,4,4,4,4,4,1,8,3,5
1058,2,3,2,2,1,1,7,3,2
1059,1,1,1,1,1,1,7,4,1
1060,1,1,1,3,3,1,7,4,2
1061,2,3,2,3,2,8,7,1,4
1062,1,1,2,2,2,1,1,5,3
1063,4,4,4,4,4,7,7,2,8
1064,1,1,1,1,1,7,7,4,1
1065,1,1,1,1,1,2,2,4,4
1066,3,3,3,3,2,1,1,3,2
1067,2,1,2,3,2,1,8,3,6
1068,1,1,1,3,3,1,7,2,3
1069,4,4,4,4,4,2,8,6,6
1070,2,3,1,3,1,1,7,-1,2
1071,4,4,4,4,4,3,3,7,8
1072,3,4,4,4,4,7,8,7,8
1073,1,1,1,1,1,1,7,3,2
1074,2,2,1,3,2,2,7,2,3
1075,1,1,1,1,1,1,5,2,1
1076,3,3,2,3,2,8,8,4,1
1077,1,1,2,1,1,7,7,-1,3
1078,3,3,2,3,2,2,2,4,4
1079,3,4,3,3,4,2,2,7,3
1080,3,4,4,4,3,7,8,7,4
1081,3,-1,3,3,3,1,1,4,4
1082,4,3,2,2,3,2,8,4,2
1083,-1,-1,-1,-1,-1,8,6,1,3
1084,2,1,1,2,2,2,2,3,3
1085,1,2,2,3,2,8,8,2,3
1086,1,1,1,3,1,6,6,4,1
1087,1,1,1,3,3,8,6,2,3
1088,1,1,1,1,1,7,7,4,1
1089,1,1,1,1,1,7,2,4,2
1090,2,3,2,2,3,2,7,4,1
1091,2,2,2,3,3,7,8,5,5
1092,4,3,2,2,3,1,8,3,4
1093,4,3,1,2,3,2,2,-1,-1
1094,3,3,2,2,2,7,8,4,4
1095,2,3,2,3,4,6,8,6,2
1096,1,1,1,3,1,8,8,4,2
1097,1,1,1,2,1,7,3,3,1
1098,4,3,4,3,4,2,8,1,7
1099,1,1,1,1,1,7,5,1,1
1100,-1,-1,-1,-1,-1,2,7,-1,-1
1101,2,2,2,2,3,1,8,4,1
1102,2,3,3,4,3,8,8,3,3
1103,2,2,2,2,2,8,7,4,2
1104,1,3,3,3,3,2,7,4,1
1105,4,4,-1,4,4,1,1,3,1
1106,4,4,4,4,4,8,8,7,8
1107,3,3,1,2,3,2,7,2,1
1108,1,3,1,3,3,1,7,4,3
1109,4,4,4,3,3,1,8,-1,8
1110,3,4,3,4,3,1,1,4,7
1111,4,4,4,4,4,8,8,7,8
1112,1,1,1,1,1,1,8,4,1
1113,4,4,4,4,4,2,2,7,8
1114,3,3,2,3,2,8,8,4,3
1115,4,3,3,3,3,1,1,4,6
1116,3,3,2,3,3,2,2,5,4
1118,1,1,1,3,1,2,6,4,1
1119,4,4,4,4,4,6,8,-1,-1
1120,4,4,4,4,4,8,8,2,8
1121,1,1,1,1,1,2,6,4,1
1122,1,1,1,2,1,2,7,4,1
1123,1,1,1,1,1,1,5,1,1
1124,2,2,2,2,2,7,8,1,2
1125,3,3,3,3,3,7,7,4,1
1126,4,4,4,4,4,1,6,7,3
1127,3,3,2,3,2,1,1,-1,4
1128,3,4,4,4,4,8,8,7,8
1129,4,4,4,4,4,8,8,7,8
1130,1,2,2,3,3,7,8,1,4
1131,1,1,1,1,1,8,5,4,1
1132,4,4,4,4,4,4,4,1,6
1133,3,3,3,3,3,8,8,4,3
1134,4,4,4,4,4,2,2,1,8
1135,3,3,1,3,3,7,8,6,-1
1136,2,2,3,3,2,1,8,4,4
1137,1,1,3,3,3,2,2,4,5
1138,4,4,3,3,4,1,1,4,4
1139,4,3,1,3,3,1,3,2,1
1140,1,1,1,4,4,5,5,7,1
1141,1,1,1,2,1,1,7,4,1
1142,3,4,4,4,3,7,7,7,8
1143,4,4,4,3,4,8,8,7,8
1144,1,2,2,3,2,2,6,4,4
1145,-1,-1,-1,-1,-1,1,7,4,1
1146,2,2,3,3,3,1,7,5,2
1147,2,3,3,1,4,8,8,7,7
1148,4,4,4,4,4,3,8,1,8
1149,2,2,1,2,1,1,5,2,2
1150,2,2,1,2,2,4,8,4,1
1151,4,4,4,4,4,8,8,7,7
1152,4,4,4,4,4,2,8,-1,5
1153,3,3,3,3,3,8,8,2,5
1154,1,3,1,2,2,8,7,5,3
1155,1,1,1,1,1,1,-1,7,1
1156,1,3,1,2,2,2,7,1,3
1157,3,4,2,3,3,8,7,4,4
1158,1,1,1,3,1,1,8,4,2
1159,1,1,1,1,1,6,6,4,1
1160,2,3,2,2,1,1,1,4,4
1161,2,2,3,1,1,1,1,4,4
1162,2,2,2,2,2,2,7,2,2
1163,2,4,2,3,3,1,-1,1,4
1164,1,1,1,1,1,-1,6,2,1
1165,3,3,3,3,3,1,8,7,3
1166,2,3,1,4,3,6,8,6,2
1167,1,1,1,1,1,8,7,4,1
1168,3,3,4,3,3,1,8,1,8
1169,3,2,2,3,3,1,1,4,4
1170,1,1,1,1,1,8,8,2,1
1171,1,1,1,1,1,1,1,1,8
1172,1,1,1,1,1,6,6,2,1
1173,1,3,1,2,1,1,5,4,1
1174,3,4,3,3,3,8,8,2,8
1175,1,1,1,1,1,2,7,4,3
1176,2,2,2,3,2,8,3,3,2
1177,3,3,3,3,3,2,2,-1,7
1178,4,4,4,4,4,8,6,4,8
1179,1,3,1,1,3,7,3,1,3
1180,4,4,4,4,3,1,8,7,8
1181,1,1,1,1,1,8,7,4,1
1182,2,2,1,2,2,1,3,1,2
1183,2,3,3,-1,-1,3,3,5,5
1184,4,3,3,3,3,3,8,6,7
1185,3,3,3,3,3,3,3,7,6
1186,2,4,2,4,3,3,3,4,4
1187,1,2,2,1,1,2,8,4,2
1188,2,2,2,2,2,2,2,4,1
1189,1,1,1,1,1,8,8,4,1
1190,1,1,1,1,1,8,8,4,1
1191,3,3,3,3,3,3,8,6,8
1192,3,4,4,4,4,3,3,7,8
1193,3,3,4,3,4,2,2,4,7
1194,2,3,2,3,3,3,7,4,3
1195,1,2,3,4,4,2,2,7,5
1196,4,3,3,4,3,3,3,4,4
1197,1,1,1,1,1,3,5,4,2
1198,3,3,3,3,3,8,8,4,4
1199,1,2,3,3,3,8,2,-1,-1
1200,1,2,1,2,2,7,7,4,1
1201,1,1,1,1,1,7,7,4,1
1202,1,1,1,1,1,6,6,6,2
1203,1,1,1,1,1,8,7,4,2
1204,3,1,1,4,4,8,8,5,3
1205,3,3,3,3,3,2,8,6,4
1206,2,2,2,3,3,2,6,5,3
1207,1,1,1,1,1,1,5,1,2
1208,1,2,1,3,1,8,8,4,3
1209,1,1,1,2,1,2,7,1,1
1210,4,4,4,4,4,1,1,4,8
1211,2,3,2,3,3,3,8,4,2
1212,1,1,1,1,2,2,6,7,1
1213,4,3,1,1,2,2,7,4,1
1214,4,4,4,3,4,7,8,5,2
1215,1,1,1,1,1,1,6,2,1
1216,2,2,2,2,2,1,1,3,3
1217,3,3,2,3,3,2,2,6,3
1218,3,2,2,2,2,8,-1,4,2
1219,1,1,1,1,1,7,7,4,1
1220,1,2,2,3,3,8,8,6,3
1221,2,2,2,2,2,8,7,4,3
1222,1,1,1,1,1,8,7,2,2
1223,3,3,4,4,4,8,8,3,3
1224,1,1,1,1,1,8,7,3,2
1225,2,3,2,3,2,2,2,1,3
1226,1,1,1,1,1,2,7,4,1
1227,2,3,3,3,3,8,8,-1,3
1228,1,3,2,1,3,2,6,1,1
1229,1,2,3,3,3,8,8,4,4
1230,1,1,1,1,1,7,6,4,1
1231,1,3,1,3,3,6,8,5,1
1232,1,1,3,3,3,1,-1,3,1
1233,1,1,1,1,1,7,6,4,2
1234,1,1,1,1,1,7,7,4,1
1235,1,1,1,1,1,1,7,4,3
1236,2,2,1,3,1,1,1,4,3
1237,1,3,1,3,3,7,7,6,1
1238,2,3,2,3,-1,1,7,4,4
1239,2,3,3,2,1,-1,7,4,3
1240,1,1,1,1,1,6,3,4,1
1241,1,1,1,1,1,3,3,4,2
1242,3,4,3,3,3,8,8,2,7
1243,1,1,1,1,1,1,6,1,1
1244,3,4,2,3,3,1,8,3,1
1245,1,1,1,3,1,1,7,2,3
1246,4,4,2,3,4,7,8,3,4
1247,1,1,1,3,1,5,5,7,1
1248,2,2,3,3,2,2,6,2,4
1249,1,1,1,1,1,1,7,3,2
1250,1,1,1,1,1,8,3,1,1
1251,1,1,1,1,1,1,3,1,1
1252,3,3,3,3,3,2,-1,5,5
1253,3,3,2,3,2,1,8,6,4
1254,1,1,1,1,1,2,5,3,1
1255,4,3,1,4,4,1,6,4,1
1256,1,1,1,1,1,6,3,4,4
1257,1,1,1,3,1,8,7,1,2
1258,1,1,1,1,1,1,5,5,1
1259,2,1,1,2,1,1,1,7,2
1260,1,1,1,1,1,1,3,1,1
1261,4,4,4,3,3,1,7,1,7
1262,2,1,2,2,1,1,6,4,5
1263,-1,-1,-1,-1,-1,-1,-1,4,1
1264,3,3,4,3,3,8,8,4,8
1265,3,2,2,2,2,1,7,4,1
1266,3,3,1,1,1,1,7,4,1
1267,1,1,1,1,1,1,7,3,2
1268,2,2,2,2,2,1,7,3,1
1269,1,1,1,3,1,1,1,7,5
1270,3,4,2,-1,3,1,7,4,2
1271,4,4,4,4,4,2,2,-1,8
1272,1,1,1,1,1,1,-1,-1,-1
1273,4,2,3,2,4,1,1,7,8
1274,1,1,1,1,1,7,7,4,1
1275,1,2,2,2,2,8,7,3,3
1276,4,3,2,3,3,2,2,4,4
1277,3,3,3,3,3,1,1,2,8
1278,2,1,1,1,1,1,7,4,1
1279,3,2,1,3,2,1,7,4,1
1280,2,3,3,3,2,1,8,4,6
1281,2,3,2,2,2,1,7,4,3
1282,4,3,2,1,3,3,7,4,3
1283,1,1,1,4,1,7,6,3,1
1284,3,3,2,2,3,7,7,1,1
1285,3,2,2,3,3,7,6,4,5
1286,3,3,2,1,1,1,7,2,1
1287,1,1,1,1,1,8,5,1,2
1288,1,1,1,1,1,5,5,4,1
1289,3,3,2,2,3,1,8,-1,1
1290,4,4,3,4,3,1,8,5,6
1291,3,3,3,3,3,8,8,3,6
1292,1,1,1,1,1,1,7,4,3
1293,3,2,2,-1,1,1,8,1,4
1294,1,1,1,1,1,5,5,1,1
1295,3,3,2,3,3,8,8,7,4
1296,2,2,3,2,3,1,1,1,7
1297,4,4,4,4,4,2,2,1,8
1298,2,1,1,1,1,8,3,4,1
1299,2,3,4,4,4,8,8,7,5
1300,2,2,1,1,1,1,7,1,2
1301,1,1,1,1,1,8,6,1,1
1302,4,4,4,4,4,2,8,4,7
1303,1,1,1,1,1,7,7,4,1
1304,1,1,1,1,1,2,6,3,1
1305,1,1,1,4,1,1,5,4,2
1306,1,1,1,3,2,1,1,4,2
1307,1,1,1,1,1,7,7,7,1
1308,1,1,1,1,1,7,7,4,1
1309,3,2,1,3,3,1,8,4,1
1310,3,3,3,4,3,1,1,4,4
1311,2,2,2,2,2,1,6,4,2
1312,1,1,1,1,1,8,7,1,-1
1313,1,3,2,3,3,5,8,6,1
1314,2,1,1,1,1,2,7,4,1
1315,1,1,1,1,1,8,5,4,3
1316,2,2,2,3,1,1,1,3,3
1317,1,3,3,3,3,8,8,7,3
1318,1,3,4,3,3,2,8,7,4
1319,2,2,2,3,4,3,3,7,3
1320,4,4,3,3,3,2,1,4,4
1321,1,1,1,1,1,1,5,2,2
1322,3,2,2,2,3,1,1,1,4
1323,3,3,3,2,2,8,7,4,1
1324,1,1,1,1,1,8,5,4,1
1325,1,1,1,1,1,2,6,4,1
1326,1,1,1,1,1,1,7,1,1
1327,3,3,3,3,3,1,2,2,4
1328,1,2,1,1,1,7,8,1,3
1329,2,3,2,3,3,1,8,3,3
1330,1,1,1,1,1,7,5,4,1
1331,4,4,2,3,3,1,8,2,3
1332,1,1,1,4,4,1,7,4,1
1333,2,3,2,2,4,2,7,2,3
1334,4,3,3,4,4,2,2,2,6
1335,1,1,1,1,1,5,5,4,1
1336,1,1,1,1,1,5,5,4,1
1337,2,2,3,3,3,2,8,7,8
1338,3,4,4,3,3,1,1,4,6
1339,4,4,4,3,4,2,2,2,4
1340,1,1,1,3,2,8,8,4,4
1341,1,1,1,3,1,1,5,1,1
1342,1,1,1,1,1,7,7,4,1
1343,1,1,4,3,1,7,7,4,6
1344,1,2,2,3,2,8,6,3,2
1345,2,1,1,2,2,1,7,1,2
1346,1,1,1,1,1,6,5,4,1
1347,1,1,1,1,1,1,7,5,1
1348,3,3,2,2,3,6,6,3,3
1349,2,2,3,2,1,1,2,4,7
1350,3,3,3,3,3,1,2,4,7
1351,1,1,1,3,1,2,7,1,2
1352,4,4,4,4,3,1,2,2,7
1353,4,3,4,4,3,1,8,5,5
1354,3,3,-1,2,1,1,7,3,1
1355,2,1,1,4,1,8,7,-1,2
1356,2,3,2,3,3,1,1,2,4
1357,1,2,1,2,1,1,3,1,1
1358,1,1,1,1,1,7,3,3,1
1359,3,3,2,2,2,1,3,4,3
1360,2,3,1,2,3,7,8,3,1
1361,4,4,3,3,3,6,6,3,5
1362,3,4,3,3,3,7,7,3,7
1363,1,1,1,3,1,1,5,2,2
1364,3,4,3,4,4,7,8,6,4
1365,3,3,3,3,3,1,8,4,4
1366,1,1,1,1,1,1,5,1,2
1367,1,1,1,2,1,1,6,2,1
1368,1,1,1,1,1,7,5,1,1
1369,3,3,1,3,2,8,8,4,1
